Title,Category Type,Location / Accessibility,Hourly Rate,Barrier to Entry,Estimate of Hours per Week,Number of People Helped,Helps with College Admissions,Technical and Skills Required,Non-financial Benefits
Babysitter,Job,Remote,$10/hour,Medium,15,15,Medium,Creativity,Skill building
Lifeguard,Internship,Remote,$5/hour,Low,19,33,High,Collaboration,Skill building
Grocery Store Clerk,Internship,Neighborhood,$15/hour,Low,12,90,High,Communication,Mentorship opportunities
Fast Food Worker,Volunteering,Remote,$8/hour,Medium,16,83,Medium,Communication,Community impact
Tutor,Club,Requires transportation,$0/hour,High,16,149,Low,Basic Math,Skill building
Camp Counselor,Internship,On-campus,$5/hour,High,14,163,High,Collaboration,Creative expression
Dog Walker,Internship,Remote,$5/hour,Medium,14,142,Low,Problem Solving,Letters of recommendation
Library Assistant,Internship,Requires transportation,$10/hour,Low,13,44,Medium,Public Speaking,Friendship and belonging
Student Government,Internship,Remote,$12/hour,Medium,18,37,Medium,Physical Stamina,Mentorship opportunities
Debate Club,Volunteering,Requires transportation,$15/hour,Low,10,150,High,Organizational Skills,Creative expression
Theater Crew,Volunteering,Neighborhood,$12/hour,High,8,41,Low,Leadership,Confidence boost
Art Club,Volunteering,On-campus,$15/hour,High,3,121,High,Basic Math,Friendship and belonging
Yearbook Committee,Job,Requires transportation,$12/hour,Low,17,115,High,Computer Skills,Teamwork
Coding Club,Internship,Requires transportation,$12/hour,High,6,32,Low,Problem Solving,Leadership experience
Math Team,Volunteering,Requires transportation,$12/hour,Medium,13,166,Medium,Communication,Mentorship opportunities
Science Olympiad,Internship,Remote,$5/hour,Low,3,172,Low,Creativity,Mentorship opportunities
Hospital Volunteer,Internship,Requires transportation,$5/hour,Low,16,53,High,Computer Skills,Skill building
Food Bank Volunteer,Volunteering,Neighborhood,$5/hour,Low,10,112,Low,Communication,Skill building
Community Garden Helper,Club,On-campus,$12/hour,High,3,162,Low,Organizational Skills,Friendship and belonging
Political Campaign Intern,Internship,On-campus,$0/hour,High,9,64,Medium,Problem Solving,Letters of recommendation
Museum Intern,Internship,Remote,$12/hour,Low,12,183,Low,Public Speaking,Letters of recommendation
Research Assistant,Internship,On-campus,$12/hour,Medium,12,12,Low,Collaboration,Mentorship opportunities
Social Media Manager for Small Business,Volunteering,Remote,$8/hour,Medium,9,14,Medium,Public Speaking,Confidence boost
Music Band Member,Job,Neighborhood,$10/hour,High,19,12,Medium,Leadership,Letters of recommendation
Dance Team,Internship,On-campus,$8/hour,Medium,2,92,Medium,Creativity,Networking
Sports Team Manager,Club,On-campus,$0/hour,Medium,10,30,Medium,Communication,Community impact
Peer Mentor,Club,Neighborhood,$10/hour,High,14,120,Medium,Basic Math,Letters of recommendation
Environmental Club,Internship,Requires transportation,$10/hour,Medium,8,186,Medium,Computer Skills,Community impact
Robotics Team,Club,Remote,$5/hour,High,8,105,Medium,Creativity,Community impact
Chess Club,Job,Neighborhood,$5/hour,High,5,138,High,Creativity,Community impact
Esports Team,Club,Remote,$8/hour,Low,4,197,Medium,Communication,Skill building
Podcast Host,Volunteering,Neighborhood,$10/hour,Medium,4,175,Low,Problem Solving,Friendship and belonging
School Newspaper,Internship,Neighborhood,$10/hour,High,2,66,High,Physical Stamina,Creative expression
Photography Club,Internship,Neighborhood,$8/hour,High,19,2,Low,Creativity,Creative expression
Film Club,Club,On-campus,$12/hour,Low,13,3,Medium,Computer Skills,Creative expression
Drama Club,Volunteering,Requires transportation,$0/hour,Medium,5,159,High,Public Speaking,Confidence boost
Animal Shelter Volunteer,Job,Requires transportation,$10/hour,Low,15,160,Medium,Public Speaking,Confidence boost
Senior Tech Helper,Club,Requires transportation,$5/hour,High,5,102,Low,Creativity,Teamwork
Peer Mediator,Club,Neighborhood,$8/hour,Medium,3,16,High,Basic Math,Friendship and belonging
SAT Prep Group Leader,Volunteering,Neighborhood,$15/hour,Low,17,57,Low,Leadership,Skill building
Local Theater Intern,Job,Requires transportation,$12/hour,Medium,16,52,High,Leadership,Friendship and belonging
Farmhand (Seasonal),Job,Requires transportation,$10/hour,Low,2,90,Medium,Basic Math,Creative expression
Retail Worker,Job,Requires transportation,$10/hour,Medium,9,180,Low,Creativity,Letters of recommendation
Barista,Club,Neighborhood,$12/hour,Low,9,33,Medium,Basic Math,Mentorship opportunities
Assistant Coach,Job,On-campus,$15/hour,High,19,100,Low,Computer Skills,Mentorship opportunities
Charity Fundraiser,Volunteering,Requires transportation,$10/hour,Medium,7,131,Medium,Computer Skills,Confidence boost
Church Youth Group Leader,Club,Neighborhood,$10/hour,Low,19,33,Medium,Problem Solving,Networking
Coding Internship,Job,Requires transportation,$5/hour,Low,3,165,High,Problem Solving,Skill building
Art Studio Intern,Job,Requires transportation,$12/hour,High,18,127,Medium,Organizational Skills,Skill building
Music Teacher Assistant,Club,On-campus,$15/hour,Medium,14,184,High,Collaboration,Community impact
